LDR,MQ2,Humedad,Temperatura
393,299,42.00,28.80
293,298,42.00,28.80
286,298,42.00,28.80
285,297,42.00,28.80
285,297,42.00,28.80
284,296,42.00,28.80
284,296,42.00,28.80
283,295,42.00,28.80
283,294,42.00,28.80
282,294,42.00,28.80
282,294,42.00,28.80
282,293,42.00,28.80
282,293,42.00,28.90
281,292,42.00,28.90
281,291,42.00,28.90
280,291,42.00,28.90
280,290,42.00,28.90
279,289,42.00,28.90
279,289,42.00,28.90
278,288,42.00,28.90
278,288,42.00,28.90
277,287,42.00,28.90
277,286,42.00,28.90
276,285,42.00,28.90
276,285,42.00,28.90
276,285,42.00,28.90
276,284,43.00,29.00
275,284,43.00,29.00
