LDR,MQ2,Humedad,Temperatura
265,270,42.00,29.10
391,270,42.00,29.00
273,270,42.00,29.00
266,269,42.00,29.00
265,269,42.00,29.00
265,269,42.00,29.00
264,268,42.00,29.00
264,268,42.00,29.00
264,268,42.00,29.00
264,268,42.00,29.00
263,267,42.00,29.00
264,268,42.00,29.00
264,267,42.00,29.00
264,268,42.00,29.00
263,267,42.00,29.00
263,266,42.00,29.00
263,266,42.00,29.00
262,265,42.00,29.00
262,265,42.00,29.00
262,265,42.00,29.00
262,265,42.00,29.00
262,265,42.00,29.00
262,265,42.00,29.00
262,265,42.00,29.00
262,265,42.00,29.00
262,265,42.00,29.00
261,264,42.00,29.00
263,266,42.00,29.00
264,268,42.00,29.00
264,268,42.00,29.10
263,266,42.00,29.10
262,265,42.00,29.10
262,265,42.00,29.10
261,264,42.00,29.10
261,264,42.00,29.10
261,264,42.00,29.10
261,264,42.00,29.10
261,263,42.00,29.10
